--------------------
BDMEP - INMET
--------------------
Estação           : CURITIBA - PR (OMM: 83842)
Latitude  (graus) : -25.43
Longitude (graus) : -49.26
Altitude  (metros): 923.50
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/10/2010 a 01/10/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
﻿Data;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia
31/10/2010;9;2.330108;6.6;56.9;63.677732;63.677732;133.1;7.731183;152.5;911.753763;22.158065;16.027097;12.467742;81.080645
30/11/2010;9;2.456667;5.8;83.7;83.930363;83.930363;192.6;6.533333;98.6;909.421111;25.063333;18.736667;14.673333;75.866667
31/12/2010;5;2.323656;5.3;54.6;97.639771;97.639771;129.8;8.129032;322.1;908.437634;25.209677;19.833548;16.512903;84.379032
31/01/2011;23;1.937634;4.1;57.6;114.147029;114.147029;131.9;7.290323;338.8;908.823656;27.774194;22.010968;18.729032;82.637097
28/02/2011;9;2.202381;5;56.6;96.595051;96.595051;112.7;7.857143;293.1;910.783333;27.035714;21.638571;18.685714;82.241071
31/03/2011;9;2.369892;4.8;45.5;80.486976;80.369485;78;8.139785;75.6;912.273118;23.270968;18.909677;16.441935;86.58871
30/04/2011;5;2.132222;6.5;54.2;70.047394;70.047394;123.2;7.244444;108.2;913.25;24.026667;18.569333;15.266667;82.141667
31/05/2011;9;2.017204;6.1;50.3;46.298835;45.525607;162.2;6.290323;33.6;914.983871;20.412903;14.775484;11.409677;82.346774
30/06/2011;23;1.946667;6.8;50.3;33.431397;33.431397;156.1;5.622222;108.8;914.098889;19.203333;12666;7.926667;80.608333
31/07/2011;9;1.934409;5.5;54.1;42.279866;42.279866;142;7.150538;147.1;914.723656;20.025806;14.132903;10.135484;83.217742
31/08/2011;9;2.683871;7.5;67.6;46.600286;46.600286;148;6.88172;260.9;914.163441;20.419355;14.573548;10.583871;79.782258
30/09/2011;9;2.401111;5.8;61.4;49.843649;49.843649;153.8;6.911111;59.9;916.045556;21.4;14.89;10.703333;79225
31/10/2011;9;2.782796;8.5;69.9;71.345562;71.345562;177.4;7.569892;191.9;911.421505;23.206452;17.382581;13.916129;81.403226
30/11/2011;9;2.54;7.5;70.3;74.786261;74.561116;191.3;7.511111;68;911.935556;23.92;17.680667;13.77;77.866667
31/12/2011;9;2.674194;6.5;97.3;97.429559;97.429559;177.8;7.236559;128.6;909.85914;25.583871;19.904516;15.925806;75.620968
